Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,Remaining,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,9584
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,58
2021,Remaining,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1108
2021,Remaining,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,14
2019,Remaining,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,87
2022 (FYTD),FYTD,NOV,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,2
2022 (FYTD),Remaining,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,25
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,121
2019,Remaining,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1693
2022 (FYTD),Remaining,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,27
2022 (FYTD),FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,26
2021,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1580
2020,Remaining,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,71
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,436
2020,Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7
2019,Remaining,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,9
2019,Remaining,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,49
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,221
2022 (FYTD),FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,112
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,13039
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,118
2019,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3175
2022 (FYTD),FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2022 (FYTD),FYTD,OCT,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,12
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,80
2019,Remaining,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,30
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,98
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2532
2020,Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,264
2022 (FYTD),Remaining,APR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,9
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,53
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,2714
2021,Remaining,MAR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,327
2020,Remaining,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,265
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,9769
2021,Remaining,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1972
2019,Remaining,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1089
2019,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1870
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12306
2022 (FYTD),FYTD,NOV,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,447
2022 (FYTD),Remaining,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,317
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1448
2020,Remaining,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2
2021,Remaining,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,180
2019,Remaining,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,21
2019,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2631
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,3
2021,Remaining,APR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1979
2019,Remaining,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2177
2021,Remaining,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,31
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,412
2020,Remaining,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,15
2020,Remaining,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,39
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,1
2019,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3075
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,5
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,6790
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8845
2021,Remaining,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,21512
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77
2021,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2365
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,565
2021,Remaining,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3071
2021,Remaining,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1343
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,211
2022 (FYTD),FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,19
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,943
2019,Remaining,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,348
2022 (FYTD),Remaining,APR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,244
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,45
2020,Remaining,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,1
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,457
2022 (FYTD),Remaining,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,2946
2020,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,20
2020,Remaining,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,12
2020,Remaining,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,256
2020,Remaining,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,211
2019,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1028
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3463
2020,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,33
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,56
2021,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,19
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3058
2020,Remaining,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,15
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,28
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,31734
2020,Remaining,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,1
2020,Remaining,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,40
2019,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,452
2020,Remaining,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10
